date,Blockchain,isPartial
2017-04-02,16,False
2017-04-09,22,False
2017-04-16,20,False
2017-04-23,24,False
2017-04-30,26,False
2017-05-07,25,False
2017-05-14,20,False
2017-05-21,24,False
2017-05-28,22,False
2017-06-04,29,False
2017-06-11,25,False
2017-06-18,28,False
2017-06-25,29,False
2017-07-02,24,False
2017-07-09,26,False
2017-07-16,20,False
2017-07-23,31,False
2017-07-30,24,False
2017-08-06,27,False
2017-08-13,26,False
2017-08-20,37,False
2017-08-27,33,False
2017-09-03,45,False
2017-09-10,44,False
2017-09-17,38,False
2017-09-24,48,False
2017-10-01,36,False
2017-10-08,35,False
2017-10-15,44,False
2017-10-22,41,False
2017-10-29,58,False
2017-11-05,52,False
2017-11-12,59,False
2017-11-19,59,False
2017-11-26,79,False
2017-12-03,62,False
2017-12-10,70,False
2017-12-17,94,False
2017-12-24,53,False
2017-12-31,80,False
2018-01-07,91,False
2018-01-14,76,False
2018-01-21,65,False
2018-01-28,77,False
2018-02-04,59,False
2018-02-11,65,False
2018-02-18,63,False
2018-02-25,64,False
2018-03-04,66,False
2018-03-11,63,False
2018-03-18,71,False
2018-03-25,55,False
2018-04-01,73,False
2018-04-08,64,False
2018-04-15,67,False
2018-04-22,60,False
2018-04-29,69,False
2018-05-06,66,False
2018-05-13,68,False
2018-05-20,63,False
2018-05-27,56,False
2018-06-03,63,False
2018-06-10,69,False
2018-06-17,64,False
2018-06-24,76,False
2018-07-01,65,False
2018-07-08,65,False
2018-07-15,77,False
2018-07-22,85,False
2018-07-29,67,False
2018-08-05,61,False
2018-08-12,65,False
2018-08-19,60,False
2018-08-26,68,False
2018-09-02,53,False
2018-09-09,59,False
2018-09-16,68,False
2018-09-23,58,False
2018-09-30,56,False
2018-10-07,70,False
2018-10-14,48,False
2018-10-21,40,False
2018-10-28,50,False
2018-11-04,77,False
2018-11-11,67,False
2018-11-18,48,False
2018-11-25,76,False
2018-12-02,52,False
2018-12-09,57,False
2018-12-16,61,False
2018-12-23,50,False
2018-12-30,44,False
2019-01-06,65,False
2019-01-13,64,False
2019-01-20,52,False
2019-01-27,58,False
2019-02-03,63,False
2019-02-10,70,False
