date,Blockchain,isPartial
2017-09-01,29,False
2017-09-02,23,False
2017-09-03,26,False
2017-09-04,28,False
2017-09-05,30,False
2017-09-06,28,False
2017-09-07,30,False
2017-09-08,29,False
2017-09-09,21,False
2017-09-10,22,False
2017-09-11,29,False
2017-09-12,28,False
2017-09-13,28,False
2017-09-14,33,False
2017-09-15,29,False
2017-09-16,23,False
2017-09-17,20,False
2017-09-18,32,False
2017-09-19,30,False
2017-09-20,30,False
2017-09-21,30,False
2017-09-22,27,False
2017-09-23,19,False
2017-09-24,21,False
2017-09-25,30,False
2017-09-26,29,False
2017-09-27,30,False
2017-09-28,31,False
2017-09-29,28,False
2017-09-30,20,False
2017-10-01,22,False
2017-10-02,32,False
2017-10-03,30,False
2017-10-04,31,False
2017-10-05,30,False
2017-10-06,30,False
2017-10-07,21,False
2017-10-08,24,False
2017-10-09,31,False
2017-10-10,36,False
2017-10-11,35,False
2017-10-12,39,False
2017-10-13,39,False
2017-10-14,27,False
2017-10-15,26,False
2017-10-16,41,False
2017-10-17,44,False
2017-10-18,41,False
2017-10-19,36,False
2017-10-20,37,False
2017-10-21,32,False
2017-10-22,30,False
2017-10-23,42,False
2017-10-24,44,False
2017-10-25,42,False
2017-10-26,40,False
2017-10-27,38,False
2017-10-28,28,False
2017-10-29,28,False
2017-10-30,39,False
2017-10-31,39,False
2017-11-01,43,False
2017-11-02,46,False
2017-11-03,48,False
2017-11-04,36,False
2017-11-05,33,False
2017-11-06,43,False
2017-11-07,46,False
2017-11-08,50,False
2017-11-09,45,False
2017-11-10,42,False
2017-11-11,33,False
2017-11-12,35,False
2017-11-13,44,False
2017-11-14,45,False
2017-11-15,45,False
2017-11-16,44,False
2017-11-17,43,False
2017-11-18,28,False
2017-11-19,30,False
2017-11-20,47,False
2017-11-21,51,False
2017-11-22,51,False
2017-11-23,42,False
2017-11-24,42,False
2017-11-25,33,False
2017-11-26,39,False
2017-11-27,57,False
2017-11-28,65,False
2017-11-29,76,False
2017-11-30,66,False
2017-12-01,58,False
2017-12-02,48,False
2017-12-03,45,False
2017-12-04,65,False
2017-12-05,66,False
2017-12-06,72,False
2017-12-07,100,False
2017-12-08,88,False
2017-12-09,66,False
2017-12-10,60,False
2017-12-11,76,False
2017-12-12,89,False
2017-12-13,85,False
2017-12-14,78,False
2017-12-15,76,False
2017-12-16,61,False
2017-12-17,65,False
2017-12-18,79,False
2017-12-19,95,False
2017-12-20,91,False
2017-12-21,99,False
2017-12-22,92,False
2017-12-23,64,False
2017-12-24,52,False
2017-12-25,54,False
2017-12-26,66,False
2017-12-27,67,False
2017-12-28,65,False
2017-12-29,55,False
2017-12-30,50,False
2017-12-31,42,False
