,value,formattedValue,link,topic_mid,topic_title,topic_type
0,142400,Breakout,/trends/explore?q=/m/07zkv6n&date=2017-09-01+2017-12-31,/m/07zkv6n,NASDAQ:RIOT,Topic
1,135450,Breakout,/trends/explore?q=/m/03p1jr5&date=2017-09-01+2017-12-31,/m/03p1jr5,Riot Blockchain,Company
2,15200,Breakout,/trends/explore?q=/g/11byd3q_b2&date=2017-09-01+2017-12-31,/g/11byd3q_b2,Global Blockchain Enterprise Limited,Company
3,12350,Breakout,/trends/explore?q=/g/11gfk0dhhb&date=2017-09-01+2017-12-31,/g/11gfk0dhhb,Electroneum,Bank
4,9250,Breakout,/trends/explore?q=/g/11dx9gxmfr&date=2017-09-01+2017-12-31,/g/11dx9gxmfr,CVE:HIVE,Topic
5,9250,Breakout,/trends/explore?q=/g/11bycyk__j&date=2017-09-01+2017-12-31,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
6,3700,"+3,700%",/trends/explore?q=/g/11fzfc2h97&date=2017-09-01+2017-12-31,/g/11fzfc2h97,Bitcoin Gold,Topic
7,3250,"+3,250%",/trends/explore?q=/g/11c5rmsdf7&date=2017-09-01+2017-12-31,/g/11c5rmsdf7,Long Blockchain Corp,Corporation
8,1750,"+1,750%",/trends/explore?q=/g/11gf2dcwbj&date=2017-09-01+2017-12-31,/g/11gf2dcwbj,Cardano,Blockchain platform
9,1000,"+1,000%",/trends/explore?q=/g/11hcz1r4wl&date=2017-09-01+2017-12-31,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
10,600,+600%,/trends/explore?q=/m/077mq&date=2017-09-01+2017-12-31,/m/077mq,Stock,Topic
11,350,+350%,/trends/explore?q=/g/11d_7x3d6j&date=2017-09-01+2017-12-31,/g/11d_7x3d6j,Bitconnect,Topic
12,250,+250%,/trends/explore?q=/m/078rys&date=2017-09-01+2017-12-31,/m/078rys,Ripple,Payment protocol
13,190,+190%,/trends/explore?q=/m/04n7j9g&date=2017-09-01+2017-12-31,/m/04n7j9g,Miner,Topic
14,170,+170%,/trends/explore?q=/m/01c02f&date=2017-09-01+2017-12-31,/m/01c02f,ASX,Stock exchange
15,150,+150%,/trends/explore?q=/g/11d_88l3hz&date=2017-09-01+2017-12-31,/g/11d_88l3hz,IOTA,Cryptocurrency
16,150,+150%,/trends/explore?q=/m/0t544l4&date=2017-09-01+2017-12-31,/m/0t544l4,Litecoin,Cryptocurrency
17,140,+140%,/trends/explore?q=/m/0g_fl&date=2017-09-01+2017-12-31,/m/0g_fl,Investment,Topic
18,110,+110%,/trends/explore?q=/m/02mxjp&date=2017-09-01+2017-12-31,/m/02mxjp,Exchange-traded fund,Topic
19,110,+110%,/trends/explore?q=/g/11dymwsc3_&date=2017-09-01+2017-12-31,/g/11dymwsc3_,Bitfinex,Bank
20,100,+100%,/trends/explore?q=/m/0wr3qjq&date=2017-09-01+2017-12-31,/m/0wr3qjq,Coinbase,Cryptocurrency company
21,90,+90%,/trends/explore?q=/m/0z64&date=2017-09-01+2017-12-31,/m/0z64,Advanced Micro Devices,Semiconductor company
22,80,+80%,/trends/explore?q=/m/053rd&date=2017-09-01+2017-12-31,/m/053rd,Mining,Topic
23,60,+60%,/trends/explore?q=/m/0vpj4_b&date=2017-09-01+2017-12-31,/m/0vpj4_b,Cryptocurrency,Topic
