,value,formattedValue,link,topic_mid,topic_title,topic_type
0,7300,Breakout,/trends/explore?q=/m/0cqmwzz&date=2021-03-01+2022-03-01,/m/0cqmwzz,Brainspark,Company
1,7300,Breakout,/trends/explore?q=/m/05wpw&date=2021-03-01+2022-03-01,/m/05wpw,Polygon,Topic
2,6700,Breakout,/trends/explore?q=/g/11nyktryhz&date=2021-03-01+2022-03-01,/g/11nyktryhz,Chia,Cryptocurrency
3,5900,Breakout,/trends/explore?q=/m/054_cb&date=2021-03-01+2022-03-01,/m/054_cb,Metaverse,Fictional world
4,3600,"+3,600%",/trends/explore?q=/g/11g0g4sbp3&date=2021-03-01+2022-03-01,/g/11g0g4sbp3,Non-fungible token,Topic
5,1400,"+1,400%",/trends/explore?q=/g/11ng76wpfc&date=2021-03-01+2022-03-01,/g/11ng76wpfc,OpenSea,Company
6,1300,"+1,300%",/trends/explore?q=/g/11fpjwyy5z&date=2021-03-01+2022-03-01,/g/11fpjwyy5z,Axie Infinity,Online game
7,1250,"+1,250%",/trends/explore?q=/g/11ghtds0nm&date=2021-03-01+2022-03-01,/g/11ghtds0nm,OpenSea,Topic
8,750,+750%,/trends/explore?q=/g/11jlgmlm5n&date=2021-03-01+2022-03-01,/g/11jlgmlm5n,MetaMask,Software
9,500,+500%,/trends/explore?q=/g/11gf2dcwbj&date=2021-03-01+2022-03-01,/g/11gf2dcwbj,Cardano,Blockchain platform
10,250,+250%,/trends/explore?q=/g/11bc5k0h3g&date=2021-03-01+2022-03-01,/g/11bc5k0h3g,Invesco,Topic
11,250,+250%,/trends/explore?q=/m/03p3pdw&date=2021-03-01+2022-03-01,/m/03p3pdw,Invesco,Investment management company
12,250,+250%,/trends/explore?q=/m/0917k8&date=2021-03-01+2022-03-01,/m/0917k8,Token coin,Topic
13,250,+250%,/trends/explore?q=/g/11jp19xcvr&date=2021-03-01+2022-03-01,/g/11jp19xcvr,Decentralized finance,Topic
14,250,+250%,/trends/explore?q=/m/0hkst&date=2021-03-01+2022-03-01,/m/0hkst,Sustainability,Topic
15,200,+200%,/trends/explore?q=/m/0dmnhb&date=2021-03-01+2022-03-01,/m/0dmnhb,Rolls-Royce Holdings,Aerospace company
16,190,+190%,/trends/explore?q=/g/11gk74sk03&date=2021-03-01+2022-03-01,/g/11gk74sk03,CoinMarketCap,Company
17,190,+190%,/trends/explore?q=/g/11f31p2h9x&date=2021-03-01+2022-03-01,/g/11f31p2h9x,Tether,Cryptocurrency
18,170,+170%,/trends/explore?q=/g/11cm045bxr&date=2021-03-01+2022-03-01,/g/11cm045bxr,Solidity,Programming language
19,170,+170%,/trends/explore?q=/m/04hhp8&date=2021-03-01+2022-03-01,/m/04hhp8,Security token,Topic
20,170,+170%,/trends/explore?q=/m/0zmxk9t&date=2021-03-01+2022-03-01,/m/0zmxk9t,Dogecoin,Cryptocurrency
21,160,+160%,/trends/explore?q=/m/05dq_&date=2021-03-01+2022-03-01,/m/05dq_,Nasdaq,Stock exchange
22,160,+160%,/trends/explore?q=/m/025r_3y&date=2021-03-01+2022-03-01,/m/025r_3y,Nasdaq,Financial services company
23,160,+160%,/trends/explore?q=/g/11hcz1r4wl&date=2021-03-01+2022-03-01,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
