,value,formattedValue,link,topic_mid,topic_title,topic_type
0,17400,Breakout,/trends/explore?q=/m/014hvd&date=2017-12-01+2017-12-31,/m/014hvd,Long Island iced tea,Cocktail
1,9200,Breakout,/trends/explore?q=/g/11c5rmsdf7&date=2017-12-01+2017-12-31,/g/11c5rmsdf7,Long Blockchain Corp,Corporation
2,2050,"+2,050%",/trends/explore?q=/g/11f345g8p9&date=2017-12-01+2017-12-31,/g/11f345g8p9,CryptoKitties,Video game
3,1000,"+1,000%",/trends/explore?q=/g/11f3n37thk&date=2017-12-01+2017-12-31,/g/11f3n37thk,TRON,Cryptocurrency
4,950,+950%,/trends/explore?q=/m/012hpd6_&date=2017-12-01+2017-12-31,/m/012hpd6_,Nxt,Cryptocurrency
5,750,+750%,/trends/explore?q=/g/11f3jyfhnn&date=2017-12-01+2017-12-31,/g/11f3jyfhnn,Verge,Cryptocurrency
6,400,+400%,/trends/explore?q=/g/11hcz1r4wl&date=2017-12-01+2017-12-31,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
7,300,+300%,/trends/explore?q=/m/078rys&date=2017-12-01+2017-12-31,/m/078rys,Ripple,Payment protocol
8,200,+200%,/trends/explore?q=/m/0t544l4&date=2017-12-01+2017-12-31,/m/0t544l4,Litecoin,Cryptocurrency
9,190,+190%,/trends/explore?q=/m/01k7gx&date=2017-12-01+2017-12-31,/m/01k7gx,Futures contract,Topic
10,190,+190%,/trends/explore?q=/g/11gf2dcwbj&date=2017-12-01+2017-12-31,/g/11gf2dcwbj,Cardano,Blockchain platform
11,180,+180%,/trends/explore?q=/m/0242l&date=2017-12-01+2017-12-31,/m/0242l,Coin,Topic
12,180,+180%,/trends/explore?q=/m/07zkv6n&date=2017-12-01+2017-12-31,/m/07zkv6n,NASDAQ:RIOT,Topic
13,180,+180%,/trends/explore?q=/m/03p1jr5&date=2017-12-01+2017-12-31,/m/03p1jr5,Riot Blockchain,Company
14,180,+180%,/trends/explore?q=/m/0wr3qjq&date=2017-12-01+2017-12-31,/m/0wr3qjq,Coinbase,Cryptocurrency company
15,140,+140%,/trends/explore?q=/m/033mrd&date=2017-12-01+2017-12-31,/m/033mrd,Financial transaction,Topic
16,110,+110%,/trends/explore?q=/g/11d_88l3hz&date=2017-12-01+2017-12-31,/g/11d_88l3hz,IOTA,Cryptocurrency
17,110,+110%,/trends/explore?q=/m/0g_fl&date=2017-12-01+2017-12-31,/m/0g_fl,Investment,Topic
18,90,+90%,/trends/explore?q=/g/11clyt5l4p&date=2017-12-01+2017-12-31,/g/11clyt5l4p,Bitcoin Core,Software
19,90,+90%,/trends/explore?q=/g/11dymwsc3_&date=2017-12-01+2017-12-31,/g/11dymwsc3_,Bitfinex,Bank
20,80,+80%,/trends/explore?q=/m/0vpj4_b&date=2017-12-01+2017-12-31,/m/0vpj4_b,Cryptocurrency,Topic
21,80,+80%,/trends/explore?q=/m/077mq&date=2017-12-01+2017-12-31,/m/077mq,Stock,Topic
22,70,+70%,/trends/explore?q=/m/0wzr9yg&date=2017-12-01+2017-12-31,/m/0wzr9yg,Bitstamp,Company
23,70,+70%,/trends/explore?q=/m/0121k_50&date=2017-12-01+2017-12-31,/m/0121k_50,Stellar,Internet protocol
24,50,+50%,/trends/explore?q=/g/11f1059m3c&date=2017-12-01+2017-12-31,/g/11f1059m3c,Cryptocurrency wallet,Topic
