,value,formattedValue,link,topic_mid,topic_title,topic_type
0,34500,Breakout,/trends/explore?q=/m/0ftdd&date=2018-01-01+2018-01-31,/m/0ftdd,Kodak,Photography company
1,3200,"+3,200%",/trends/explore?q=/m/025sk56&date=2018-01-01+2018-01-31,/m/025sk56,Titanium,Chemical element
2,1800,"+1,800%",/trends/explore?q=/m/047593&date=2018-01-01+2018-01-31,/m/047593,.ve,Top-level domain
3,600,+600%,/trends/explore?q=/m/035r8l&date=2018-01-01+2018-01-31,/m/035r8l,Maersk,Shipping company
4,600,+600%,/trends/explore?q=/m/0gbh_b_&date=2018-01-01+2018-01-31,/m/0gbh_b_,Maersk Line,Company
5,350,+350%,/trends/explore?q=/g/11h9whtfcr&date=2018-01-01+2018-01-31,/g/11h9whtfcr,Petro,Cryptocurrency
6,250,+250%,/trends/explore?q=/m/0g2vc&date=2018-01-01+2018-01-31,/m/0g2vc,Observatory,Topic
7,140,+140%,/trends/explore?q=/g/11g_x8ghf4&date=2018-01-01+2018-01-31,/g/11g_x8ghf4,Cryptopia,Topic
8,140,+140%,/trends/explore?q=/m/02mxjp&date=2018-01-01+2018-01-31,/m/02mxjp,Exchange-traded fund,Topic
9,130,+130%,/trends/explore?q=/g/11f3n37thk&date=2018-01-01+2018-01-31,/g/11f3n37thk,TRON,Cryptocurrency
10,110,+110%,/trends/explore?q=/g/11cp75gyvb&date=2018-01-01+2018-01-31,/g/11cp75gyvb,Steemit,Website
11,100,+100%,/trends/explore?q=/m/09cynt&date=2018-01-01+2018-01-31,/m/09cynt,Convention,Meeting
12,100,+100%,/trends/explore?q=/m/06mvj8&date=2018-01-01+2018-01-31,/m/06mvj8,ICO,File format
13,100,+100%,/trends/explore?q=/m/01rs9z&date=2018-01-01+2018-01-31,/m/01rs9z,Use case,Topic
14,100,+100%,/trends/explore?q=/m/04y7lrx&date=2018-01-01+2018-01-31,/m/04y7lrx,Microsoft Azure,Computer application
15,90,+90%,/trends/explore?q=/g/11c6vvnmqj&date=2018-01-01+2018-01-31,/g/11c6vvnmqj,Initial coin offering,Topic
16,90,+90%,/trends/explore?q=/m/0121k_50&date=2018-01-01+2018-01-31,/m/0121k_50,Stellar,Internet protocol
17,80,+80%,/trends/explore?q=/m/0917k8&date=2018-01-01+2018-01-31,/m/0917k8,Token coin,Topic
18,70,+70%,/trends/explore?q=/g/11fj329chn&date=2018-01-01+2018-01-31,/g/11fj329chn,ERC-20,Topic
19,70,+70%,/trends/explore?q=/m/03sc8&date=2018-01-01+2018-01-31,/m/03sc8,IBM,Technology company
20,70,+70%,/trends/explore?q=/g/11cm045bxr&date=2018-01-01+2018-01-31,/g/11cm045bxr,Solidity,Programming language
