,value,formattedValue,link,topic_mid,topic_title,topic_type
0,4100,"+4,100%",/trends/explore?q=/m/0ftdd&date=2018-01-01+2018-04-30,/m/0ftdd,Kodak,Photography company
1,1750,"+1,750%",/trends/explore?q=/m/025sk56&date=2018-01-01+2018-04-30,/m/025sk56,Titanium,Chemical element
2,1450,"+1,450%",/trends/explore?q=/m/047593&date=2018-01-01+2018-04-30,/m/047593,.ve,Top-level domain
3,550,+550%,/trends/explore?q=/g/11h9whtfcr&date=2018-01-01+2018-04-30,/g/11h9whtfcr,Petro,Cryptocurrency
4,170,+170%,/trends/explore?q=/g/11f3n37thk&date=2018-01-01+2018-04-30,/g/11f3n37thk,TRON,Cryptocurrency
5,160,+160%,/trends/explore?q=/m/02mxjp&date=2018-01-01+2018-04-30,/m/02mxjp,Exchange-traded fund,Topic
6,130,+130%,/trends/explore?q=/g/11hcz1r4wl&date=2018-01-01+2018-04-30,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
7,120,+120%,/trends/explore?q=/m/018j6p&date=2018-01-01+2018-04-30,/m/018j6p,Software Developer,Occupation
8,110,+110%,/trends/explore?q=/m/0dvtq_&date=2018-01-01+2018-04-30,/m/0dvtq_,Smart contract,Topic
9,110,+110%,/trends/explore?q=/m/0mkz&date=2018-01-01+2018-04-30,/m/0mkz,Artificial intelligence,Field of study
10,100,+100%,/trends/explore?q=/m/09cynt&date=2018-01-01+2018-04-30,/m/09cynt,Convention,Meeting
11,90,+90%,/trends/explore?q=/m/019h6j&date=2018-01-01+2018-04-30,/m/019h6j,Supply chain,Topic
12,80,+80%,/trends/explore?q=/g/11hbfjt1x1&date=2018-01-01+2018-04-30,/g/11hbfjt1x1,EOS.IO,Topic
13,80,+80%,/trends/explore?q=/m/02vnd10&date=2018-01-01+2018-04-30,/m/02vnd10,Internet of things,Topic
14,70,+70%,/trends/explore?q=/m/0z64&date=2018-01-01+2018-04-30,/m/0z64,Advanced Micro Devices,Semiconductor company
15,70,+70%,/trends/explore?q=/g/11hcjtkkcv&date=2018-01-01+2018-04-30,/g/11hcjtkkcv,Decentralized application,Topic
16,70,+70%,/trends/explore?q=/g/11c6vvnmqj&date=2018-01-01+2018-04-30,/g/11c6vvnmqj,Initial coin offering,Topic
17,70,+70%,/trends/explore?q=/m/0121k_50&date=2018-01-01+2018-04-30,/m/0121k_50,Stellar,Internet protocol
18,60,+60%,/trends/explore?q=/g/11clw79q_w&date=2018-01-01+2018-04-30,/g/11clw79q_w,Hyperledger,Project
19,60,+60%,/trends/explore?q=/m/0917k8&date=2018-01-01+2018-04-30,/m/0917k8,Token coin,Topic
20,50,+50%,/trends/explore?q=/m/03sc8&date=2018-01-01+2018-04-30,/m/03sc8,IBM,Technology company
