,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/0_1fcmj&date=2017-09-01+2017-12-31,/m/0_1fcmj,Blockchain.com,Topic
1,22,22,True,/trends/explore?q=/m/05p0rrx&date=2017-09-01+2017-12-31,/m/05p0rrx,Bitcoin,Currency
2,9,9,True,/trends/explore?q=/m/07c1v&date=2017-09-01+2017-12-31,/m/07c1v,Technology,Organization type
3,6,6,True,/trends/explore?q=/m/0108bn2x&date=2017-09-01+2017-12-31,/m/0108bn2x,Ethereum,Topic
4,5,5,True,/trends/explore?q=/m/077mq&date=2017-09-01+2017-12-31,/m/077mq,Stock,Topic
5,5,5,True,/trends/explore?q=/m/0vpj4_b&date=2017-09-01+2017-12-31,/m/0vpj4_b,Cryptocurrency,Topic
6,5,5,True,/trends/explore?q=/m/02_vjy&date=2017-09-01+2017-12-31,/m/02_vjy,Wallet,Topic
7,2,2,True,/trends/explore?q=/m/0242l&date=2017-09-01+2017-12-31,/m/0242l,Coin,Topic
8,2,2,True,/trends/explore?q=/m/0wr3qjq&date=2017-09-01+2017-12-31,/m/0wr3qjq,Coinbase,Cryptocurrency company
9,2,2,True,/trends/explore?q=/m/0g_fl&date=2017-09-01+2017-12-31,/m/0g_fl,Investment,Topic
10,2,2,True,/trends/explore?q=/g/11f1059m3c&date=2017-09-01+2017-12-31,/g/11f1059m3c,Cryptocurrency wallet,Topic
11,2,2,True,/trends/explore?q=/g/11dx9gxmfr&date=2017-09-01+2017-12-31,/g/11dx9gxmfr,CVE:HIVE,Topic
12,2,2,True,/trends/explore?q=/g/11bycyk__j&date=2017-09-01+2017-12-31,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
13,2,2,True,/trends/explore?q=/m/033mrd&date=2017-09-01+2017-12-31,/m/033mrd,Financial transaction,Topic
14,2,2,True,/trends/explore?q=/m/078rys&date=2017-09-01+2017-12-31,/m/078rys,Ripple,Payment protocol
15,1,1,True,/trends/explore?q=/m/053rd&date=2017-09-01+2017-12-31,/m/053rd,Mining,Topic
16,1,1,True,/trends/explore?q=/m/07zkv6n&date=2017-09-01+2017-12-31,/m/07zkv6n,NASDAQ:RIOT,Topic
17,1,1,True,/trends/explore?q=/m/03p1jr5&date=2017-09-01+2017-12-31,/m/03p1jr5,Riot Blockchain,Company
18,1,1,True,/trends/explore?q=/m/04n7j9g&date=2017-09-01+2017-12-31,/m/04n7j9g,Miner,Topic
19,1,1,True,/trends/explore?q=/m/0t544l4&date=2017-09-01+2017-12-31,/m/0t544l4,Litecoin,Cryptocurrency
20,1,1,True,/trends/explore?q=/m/03sc8&date=2017-09-01+2017-12-31,/m/03sc8,IBM,Technology company
21,0,<1,True,/trends/explore?q=/g/11d_88l3hz&date=2017-09-01+2017-12-31,/g/11d_88l3hz,IOTA,Cryptocurrency
22,0,<1,True,/trends/explore?q=/m/0z64&date=2017-09-01+2017-12-31,/m/0z64,Advanced Micro Devices,Semiconductor company
23,0,<1,True,/trends/explore?q=/g/11fzfc2h97&date=2017-09-01+2017-12-31,/g/11fzfc2h97,Bitcoin Gold,Topic
24,0,<1,True,/trends/explore?q=/m/02mxjp&date=2017-09-01+2017-12-31,/m/02mxjp,Exchange-traded fund,Topic
