,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/0_1fcmj&date=2021-03-01+2022-03-01,/m/0_1fcmj,Blockchain.com,Topic
1,13,13,True,/trends/explore?q=/m/077mq&date=2021-03-01+2022-03-01,/m/077mq,Stock,Topic
2,11,11,True,/trends/explore?q=/m/05p0rrx&date=2021-03-01+2022-03-01,/m/05p0rrx,Bitcoin,Currency
3,11,11,True,/trends/explore?q=/m/0vpj4_b&date=2021-03-01+2022-03-01,/m/0vpj4_b,Cryptocurrency,Topic
4,9,9,True,/trends/explore?q=/m/07c1v&date=2021-03-01+2022-03-01,/m/07c1v,Technology,Organization type
5,7,7,True,/trends/explore?q=/g/11f7nwbn6b&date=2021-03-01+2022-03-01,/g/11f7nwbn6b,Argo Blockchain,Company
6,7,7,True,/trends/explore?q=/m/01xm4b&date=2021-03-01+2022-03-01,/m/01xm4b,Share price,Topic
7,5,5,True,/trends/explore?q=/m/07zkv6n&date=2021-03-01+2022-03-01,/m/07zkv6n,NASDAQ:RIOT,Topic
8,5,5,True,/trends/explore?q=/m/03jzl9&date=2021-03-01+2022-03-01,/m/03jzl9,Share,Topic
9,5,5,True,/trends/explore?q=/m/03p1jr5&date=2021-03-01+2022-03-01,/m/03p1jr5,Riot Blockchain,Company
10,5,5,True,/trends/explore?q=/m/0108bn2x&date=2021-03-01+2022-03-01,/m/0108bn2x,Ethereum,Topic
11,4,4,True,/trends/explore?q=/g/11g0g4sbp3&date=2021-03-01+2022-03-01,/g/11g0g4sbp3,Non-fungible token,Topic
12,3,3,True,/trends/explore?q=/m/02_vjy&date=2021-03-01+2022-03-01,/m/02_vjy,Wallet,Topic
13,3,3,True,/trends/explore?q=/g/11bycyk__j&date=2021-03-01+2022-03-01,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
14,3,3,True,/trends/explore?q=/g/11dx9gxmfr&date=2021-03-01+2022-03-01,/g/11dx9gxmfr,CVE:HIVE,Topic
15,3,3,True,/trends/explore?q=/m/0242l&date=2021-03-01+2022-03-01,/m/0242l,Coin,Topic
16,2,2,True,/trends/explore?q=/m/018j6p&date=2021-03-01+2022-03-01,/m/018j6p,Software Developer,Occupation
17,2,2,True,/trends/explore?q=/g/120z18l3&date=2021-03-01+2022-03-01,/g/120z18l3,Company,Topic
18,2,2,True,/trends/explore?q=/m/033mrd&date=2021-03-01+2022-03-01,/m/033mrd,Financial transaction,Topic
19,2,2,True,/trends/explore?q=/m/0245b&date=2021-03-01+2022-03-01,/m/0245b,Contract,Topic
20,2,2,True,/trends/explore?q=/g/11hcz1r4wl&date=2021-03-01+2022-03-01,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
21,2,2,True,/trends/explore?q=/m/0g_fl&date=2021-03-01+2022-03-01,/m/0g_fl,Investment,Topic
22,1,1,True,/trends/explore?q=/m/0wr3qjq&date=2021-03-01+2022-03-01,/m/0wr3qjq,Coinbase,Cryptocurrency company
23,1,1,True,/trends/explore?q=/g/11gf2dcwbj&date=2021-03-01+2022-03-01,/g/11gf2dcwbj,Cardano,Blockchain platform
