,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/0_1fcmj&date=2017-12-01+2017-12-31,/m/0_1fcmj,Blockchain.com,Topic
1,25,25,True,/trends/explore?q=/m/05p0rrx&date=2017-12-01+2017-12-31,/m/05p0rrx,Bitcoin,Currency
2,8,8,True,/trends/explore?q=/m/077mq&date=2017-12-01+2017-12-31,/m/077mq,Stock,Topic
3,7,7,True,/trends/explore?q=/m/07c1v&date=2017-12-01+2017-12-31,/m/07c1v,Technology,Organization type
4,6,6,True,/trends/explore?q=/m/0vpj4_b&date=2017-12-01+2017-12-31,/m/0vpj4_b,Cryptocurrency,Topic
5,6,6,True,/trends/explore?q=/m/0108bn2x&date=2017-12-01+2017-12-31,/m/0108bn2x,Ethereum,Topic
6,5,5,True,/trends/explore?q=/m/02_vjy&date=2017-12-01+2017-12-31,/m/02_vjy,Wallet,Topic
7,3,3,True,/trends/explore?q=/m/0242l&date=2017-12-01+2017-12-31,/m/0242l,Coin,Topic
8,3,3,True,/trends/explore?q=/m/0wr3qjq&date=2017-12-01+2017-12-31,/m/0wr3qjq,Coinbase,Cryptocurrency company
9,2,2,True,/trends/explore?q=/m/07zkv6n&date=2017-12-01+2017-12-31,/m/07zkv6n,NASDAQ:RIOT,Topic
10,2,2,True,/trends/explore?q=/m/03p1jr5&date=2017-12-01+2017-12-31,/m/03p1jr5,Riot Blockchain,Company
11,2,2,True,/trends/explore?q=/m/078rys&date=2017-12-01+2017-12-31,/m/078rys,Ripple,Payment protocol
12,2,2,True,/trends/explore?q=/m/033mrd&date=2017-12-01+2017-12-31,/m/033mrd,Financial transaction,Topic
13,2,2,True,/trends/explore?q=/m/0g_fl&date=2017-12-01+2017-12-31,/m/0g_fl,Investment,Topic
14,2,2,True,/trends/explore?q=/m/0t544l4&date=2017-12-01+2017-12-31,/m/0t544l4,Litecoin,Cryptocurrency
15,2,2,True,/trends/explore?q=/g/11f1059m3c&date=2017-12-01+2017-12-31,/g/11f1059m3c,Cryptocurrency wallet,Topic
16,1,1,True,/trends/explore?q=/g/11dx9gxmfr&date=2017-12-01+2017-12-31,/g/11dx9gxmfr,CVE:HIVE,Topic
17,1,1,True,/trends/explore?q=/g/11bycyk__j&date=2017-12-01+2017-12-31,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
18,1,1,True,/trends/explore?q=/m/053rd&date=2017-12-01+2017-12-31,/m/053rd,Mining,Topic
19,1,1,True,/trends/explore?q=/m/04n7j9g&date=2017-12-01+2017-12-31,/m/04n7j9g,Miner,Topic
20,1,1,True,/trends/explore?q=/g/11d_88l3hz&date=2017-12-01+2017-12-31,/g/11d_88l3hz,IOTA,Cryptocurrency
21,1,1,True,/trends/explore?q=/g/11d_wtvc5k&date=2017-12-01+2017-12-31,/g/11d_wtvc5k,Bitcoin Cash,Cryptocurrency
22,0,<1,True,/trends/explore?q=/g/11hcz1r4wl&date=2017-12-01+2017-12-31,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
23,0,<1,True,/trends/explore?q=/g/11c5rmsdf7&date=2017-12-01+2017-12-31,/g/11c5rmsdf7,Long Blockchain Corp,Corporation
24,0,<1,True,/trends/explore?q=/g/11dymwsc3_&date=2017-12-01+2017-12-31,/g/11dymwsc3_,Bitfinex,Bank
