,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/0_1fcmj&date=2018-01-01+2018-01-31,/m/0_1fcmj,Blockchain.com,Topic
1,14,14,True,/trends/explore?q=/m/05p0rrx&date=2018-01-01+2018-01-31,/m/05p0rrx,Bitcoin,Currency
2,8,8,True,/trends/explore?q=/m/07c1v&date=2018-01-01+2018-01-31,/m/07c1v,Technology,Organization type
3,7,7,True,/trends/explore?q=/m/0vpj4_b&date=2018-01-01+2018-01-31,/m/0vpj4_b,Cryptocurrency,Topic
4,6,6,True,/trends/explore?q=/m/077mq&date=2018-01-01+2018-01-31,/m/077mq,Stock,Topic
5,5,5,True,/trends/explore?q=/m/0108bn2x&date=2018-01-01+2018-01-31,/m/0108bn2x,Ethereum,Topic
6,4,4,True,/trends/explore?q=/m/0242l&date=2018-01-01+2018-01-31,/m/0242l,Coin,Topic
7,3,3,True,/trends/explore?q=/m/02_vjy&date=2018-01-01+2018-01-31,/m/02_vjy,Wallet,Topic
8,2,2,True,/trends/explore?q=/m/078rys&date=2018-01-01+2018-01-31,/m/078rys,Ripple,Payment protocol
9,2,2,True,/trends/explore?q=/m/0g_fl&date=2018-01-01+2018-01-31,/m/0g_fl,Investment,Topic
10,1,1,True,/trends/explore?q=/m/053rd&date=2018-01-01+2018-01-31,/m/053rd,Mining,Topic
11,1,1,True,/trends/explore?q=/m/033mrd&date=2018-01-01+2018-01-31,/m/033mrd,Financial transaction,Topic
12,1,1,True,/trends/explore?q=/m/03sc8&date=2018-01-01+2018-01-31,/m/03sc8,IBM,Technology company
13,1,1,True,/trends/explore?q=/m/0wr3qjq&date=2018-01-01+2018-01-31,/m/0wr3qjq,Coinbase,Cryptocurrency company
14,1,1,True,/trends/explore?q=/g/11c6vvnmqj&date=2018-01-01+2018-01-31,/g/11c6vvnmqj,Initial coin offering,Topic
15,1,1,True,/trends/explore?q=/g/11f1059m3c&date=2018-01-01+2018-01-31,/g/11f1059m3c,Cryptocurrency wallet,Topic
16,1,1,True,/trends/explore?q=/m/04n7j9g&date=2018-01-01+2018-01-31,/m/04n7j9g,Miner,Topic
17,1,1,True,/trends/explore?q=/g/11dx9gxmfr&date=2018-01-01+2018-01-31,/g/11dx9gxmfr,CVE:HIVE,Topic
18,1,1,True,/trends/explore?q=/m/02mxjp&date=2018-01-01+2018-01-31,/m/02mxjp,Exchange-traded fund,Topic
19,1,1,True,/trends/explore?q=/g/11bycyk__j&date=2018-01-01+2018-01-31,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
20,0,<1,True,/trends/explore?q=/m/047593&date=2018-01-01+2018-01-31,/m/047593,.ve,Top-level domain
21,0,<1,True,/trends/explore?q=/m/025sk56&date=2018-01-01+2018-01-31,/m/025sk56,Titanium,Chemical element
22,0,<1,True,/trends/explore?q=/m/09cynt&date=2018-01-01+2018-01-31,/m/09cynt,Convention,Meeting
23,0,<1,True,/trends/explore?q=/m/0ftdd&date=2018-01-01+2018-01-31,/m/0ftdd,Kodak,Photography company
24,0,<1,True,/trends/explore?q=/g/11f3n37thk&date=2018-01-01+2018-01-31,/g/11f3n37thk,TRON,Cryptocurrency
