,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/0_1fcmj&date=2018-01-01+2018-04-30,/m/0_1fcmj,Blockchain.com,Topic
1,12,12,True,/trends/explore?q=/m/05p0rrx&date=2018-01-01+2018-04-30,/m/05p0rrx,Bitcoin,Currency
2,9,9,True,/trends/explore?q=/m/07c1v&date=2018-01-01+2018-04-30,/m/07c1v,Technology,Organization type
3,6,6,True,/trends/explore?q=/m/0vpj4_b&date=2018-01-01+2018-04-30,/m/0vpj4_b,Cryptocurrency,Topic
4,5,5,True,/trends/explore?q=/m/077mq&date=2018-01-01+2018-04-30,/m/077mq,Stock,Topic
5,4,4,True,/trends/explore?q=/m/0108bn2x&date=2018-01-01+2018-04-30,/m/0108bn2x,Ethereum,Topic
6,3,3,True,/trends/explore?q=/m/02_vjy&date=2018-01-01+2018-04-30,/m/02_vjy,Wallet,Topic
7,3,3,True,/trends/explore?q=/m/0242l&date=2018-01-01+2018-04-30,/m/0242l,Coin,Topic
8,2,2,True,/trends/explore?q=/m/0g_fl&date=2018-01-01+2018-04-30,/m/0g_fl,Investment,Topic
9,2,2,True,/trends/explore?q=/m/03sc8&date=2018-01-01+2018-04-30,/m/03sc8,IBM,Technology company
10,1,1,True,/trends/explore?q=/m/078rys&date=2018-01-01+2018-04-30,/m/078rys,Ripple,Payment protocol
11,1,1,True,/trends/explore?q=/m/053rd&date=2018-01-01+2018-04-30,/m/053rd,Mining,Topic
12,1,1,True,/trends/explore?q=/m/033mrd&date=2018-01-01+2018-04-30,/m/033mrd,Financial transaction,Topic
13,1,1,True,/trends/explore?q=/g/11dx9gxmfr&date=2018-01-01+2018-04-30,/g/11dx9gxmfr,CVE:HIVE,Topic
14,1,1,True,/trends/explore?q=/g/11bycyk__j&date=2018-01-01+2018-04-30,/g/11bycyk__j,HIVE Blockchain Technologies Ltd.,Topic
15,1,1,True,/trends/explore?q=/g/11c6vvnmqj&date=2018-01-01+2018-04-30,/g/11c6vvnmqj,Initial coin offering,Topic
16,1,1,True,/trends/explore?q=/g/11f1059m3c&date=2018-01-01+2018-04-30,/g/11f1059m3c,Cryptocurrency wallet,Topic
17,1,1,True,/trends/explore?q=/m/0dvtq_&date=2018-01-01+2018-04-30,/m/0dvtq_,Smart contract,Topic
18,1,1,True,/trends/explore?q=/m/018j6p&date=2018-01-01+2018-04-30,/m/018j6p,Software Developer,Occupation
19,1,1,True,/trends/explore?q=/m/0z64&date=2018-01-01+2018-04-30,/m/0z64,Advanced Micro Devices,Semiconductor company
20,1,1,True,/trends/explore?q=/m/0mkz&date=2018-01-01+2018-04-30,/m/0mkz,Artificial intelligence,Field of study
21,1,1,True,/trends/explore?q=/m/02mxjp&date=2018-01-01+2018-04-30,/m/02mxjp,Exchange-traded fund,Topic
22,0,<1,True,/trends/explore?q=/m/02vnd10&date=2018-01-01+2018-04-30,/m/02vnd10,Internet of things,Topic
23,0,<1,True,/trends/explore?q=/m/09cynt&date=2018-01-01+2018-04-30,/m/09cynt,Convention,Meeting
24,0,<1,True,/trends/explore?q=/g/11hcz1r4wl&date=2018-01-01+2018-04-30,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
