date,Blockchain,isPartial
2017-04-02,15,False
2017-04-09,14,False
2017-04-16,15,False
2017-04-23,16,False
2017-04-30,17,False
2017-05-07,19,False
2017-05-14,20,False
2017-05-21,24,False
2017-05-28,21,False
2017-06-04,22,False
2017-06-11,24,False
2017-06-18,24,False
2017-06-25,23,False
2017-07-02,20,False
2017-07-09,22,False
2017-07-16,21,False
2017-07-23,21,False
2017-07-30,22,False
2017-08-06,23,False
2017-08-13,26,False
2017-08-20,27,False
2017-08-27,27,False
2017-09-03,27,False
2017-09-10,28,False
2017-09-17,27,False
2017-09-24,27,False
2017-10-01,28,False
2017-10-08,35,False
2017-10-15,42,False
2017-10-22,43,False
2017-10-29,46,False
2017-11-05,49,False
2017-11-12,47,False
2017-11-19,48,False
2017-11-26,69,False
2017-12-03,83,False
2017-12-10,89,False
2017-12-17,100,False
2017-12-24,68,False
2017-12-31,73,False
2018-01-07,86,False
2018-01-14,76,False
2018-01-21,65,False
2018-01-28,61,False
2018-02-04,54,False
2018-02-11,50,False
2018-02-18,53,False
2018-02-25,48,False
2018-03-04,45,False
2018-03-11,47,False
2018-03-18,46,False
2018-03-25,40,False
2018-04-01,39,False
2018-04-08,40,False
2018-04-15,41,False
2018-04-22,42,False
2018-04-29,41,False
2018-05-06,42,False
2018-05-13,46,False
2018-05-20,39,False
2018-05-27,37,False
2018-06-03,39,False
2018-06-10,36,False
2018-06-17,36,False
2018-06-24,35,False
2018-07-01,30,False
2018-07-08,32,False
2018-07-15,32,False
2018-07-22,35,False
2018-07-29,32,False
2018-08-05,31,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,32,False
2018-09-16,33,False
2018-09-23,36,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,34,False
2018-10-21,35,False
2018-10-28,32,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,28,False
2018-11-25,32,False
2018-12-02,28,False
2018-12-09,25,False
2018-12-16,22,False
2018-12-23,18,False
2018-12-30,20,False
2019-01-06,23,False
2019-01-13,22,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,24,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,22,False
2019-03-24,23,False
2019-03-31,26,False
2019-04-07,25,False
2019-04-14,24,False
2019-04-21,28,False
2019-04-28,28,False
2019-05-05,30,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,28,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,23,False
2019-07-07,22,False
2019-07-14,22,False
2019-07-21,21,False
2019-07-28,21,False
2019-08-04,20,False
2019-08-11,20,False
2019-08-18,20,False
2019-08-25,20,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,20,False
2019-10-06,20,False
2019-10-13,20,False
2019-10-20,20,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,20,False
2019-11-24,19,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,18,False
2019-12-22,15,False
2019-12-29,16,False
2020-01-05,18,False
2020-01-12,20,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,20,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,15,False
2020-03-29,16,False
2020-04-05,18,False
2020-04-12,17,False
2020-04-19,18,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,20,False
2020-05-17,19,False
2020-05-24,18,False
2020-05-31,18,False
2020-06-07,17,False
2020-06-14,17,False
2020-06-21,18,False
2020-06-28,17,False
2020-07-05,17,False
2020-07-12,19,False
2020-07-19,20,False
2020-07-26,21,False
2020-08-02,19,False
2020-08-09,18,False
2020-08-16,20,False
2020-08-23,19,False
2020-08-30,18,False
2020-09-06,18,False
2020-09-13,17,False
2020-09-20,17,False
2020-09-27,16,False
2020-10-04,17,False
2020-10-11,16,False
